Company Name,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Earnings From Equity Interest Net Of Tax,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Average Dilution Earnings,Total Other Finance Cost,Research And Development,Earnings From Equity Interest
Alphabet,-83780000,0.071,26293000000,-1180000000,-1180000000,19689000000,3800000000,33229000000,25113000000,21313000000,950000000,116000000,1066000000,20785220000,19689000000,55350000000,21343000000,12696000000,12581000000,1.55,1.56,19689000000,19689000000,19689000000,19689000000,19689000000,,1508000000,21197000000,-1096000000,299000000,-1180000000,950000000,116000000,1066000000,21343000000,22121000000,,10863000000,6884000000,3979000000,3979000000,43464000000,33229000000,76693000000,76693000000,,,11258000000,-215000000
Apple,0,0.149715,30653000000,,,22956000000,2653000000,49071000000,30653000000,28000000000,-18000000,1002000000,984000000,22956000000,22956000000,62529000000,26969000000,15672400000,15599434000,1.46,1.47,22956000000,22956000000,22956000000,22956000000,22956000000,,4042000000,26998000000,47000000,47000000,,-18000000,1002000000,984000000,26969000000,13458000000,,6151000000,,,,40427000000,49071000000,89498000000,89498000000,,,7307000000,
Meta,-16660000,0.17,17116000000,-98000000,-98000000,11583000000,2859000000,6210000000,17018000000,14159000000,370000000,139000000,534000000,11664340000,11583000000,20398000000,13748000000,2641000000,2576000000,4.39,4.5,11583000000,11583000000,11583000000,11583000000,11583000000,,2437000000,14020000000,-98000000,,-98000000,370000000,139000000,534000000,13748000000,14188000000,,4947000000,2877000000,2070000000,2070000000,27936000000,6210000000,34146000000,33853000000,,25000000,9241000000,
Amazon,204700303.6,0.189187,24044000000,1082000000,1082000000,9879000000,12131000000,1.18539E+11,25126000000,12995000000,-30000000,806000000,776000000,9001700304,9879000000,1.31895E+11,11188000000,10558000000,10322000000,0.94,0.96,9879000000,9879000000,9879000000,9879000000,9879000000,-4000000,2306000000,12189000000,1031000000,-51000000,1082000000,-30000000,806000000,776000000,11188000000,13356000000,244000000,13112000000,10551000000,2561000000,2561000000,24544000000,1.18539E+11,1.43083E+11,1.43083E+11,,,,
